Bowling Contract,# of Bowlers,# of Titles,Win %
SPI,38,200,41.49%
Brands of Brunswick,27,222,46.06%
Motiv,13,50,10.37%
Big Bowling,2,10,2%
Not Sponsored,1,0,0%
,81,482,
